Date,Open,High,Low,Close,Adj Close,Volume
2021-12-10,175.2100067138672,179.6300048828125,174.69000244140625,179.4499969482422,179.4499969482422,115228100
2021-12-13,181.1199951171875,182.1300048828125,175.52999877929688,175.74000549316406,175.74000549316406,153237000
2021-12-14,175.25,177.74000549316406,172.2100067138672,174.3300018310547,174.3300018310547,139380400
2021-12-15,175.11000061035156,179.5,172.30999755859375,179.3000030517578,179.3000030517578,131063300
2021-12-16,179.27999877929688,181.13999938964844,170.75,172.25999450683594,172.25999450683594,150185800
2021-12-17,169.92999267578125,173.47000122070312,169.69000244140625,171.13999938964844,171.13999938964844,195432700
2021-12-20,168.27999877929688,170.5800018310547,167.4600067138672,169.75,169.75,107499100
2021-12-21,171.55999755859375,173.1999969482422,169.1199951171875,172.99000549316406,172.99000549316406,91185900
2021-12-22,173.0399932861328,175.86000061035156,172.14999389648438,175.63999938964844,175.63999938964844,92135300
2021-12-23,175.85000610351562,176.85000610351562,175.27000427246094,176.27999877929688,176.27999877929688,68356600
2021-12-27,177.08999633789062,180.4199981689453,177.07000732421875,180.3300018310547,180.3300018310547,74919600
2021-12-28,180.16000366210938,181.3300018310547,178.52999877929688,179.2899932861328,179.2899932861328,79144300
2021-12-29,179.3300018310547,180.6300048828125,178.13999938964844,179.3800048828125,179.3800048828125,62348900
2021-12-30,179.47000122070312,180.57000732421875,178.08999633789062,178.1999969482422,178.1999969482422,59773000
2021-12-31,178.08999633789062,179.22999572753906,177.25999450683594,177.57000732421875,177.57000732421875,64025500
2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,182.00999450683594,104487900
2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,179.6999969482422,99310400
2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,174.9199981689453,94537600
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,172.0,96904000
2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,172.1699981689453,86580100
